P1,P2,Vencedor,Quem_Comecou,Total_Jogadas
P1_it1000_c1.41_mcAll_dNone_opt,P2_it1000_c1.41_mcAll_dNone_pure,P1_it1000_c1.41_mcAll_dNone_opt,P1_it1000_c1.41_mcAll_dNone_opt,7
P1_it1000_c1.41_mcAll_dNone_opt,P2_it1000_c1.41_mcAll_dNone_pure,P1_it1000_c1.41_mcAll_dNone_opt,P2_it1000_c1.41_mcAll_dNone_pure,30
P1_it1000_c1.41_mcAll_dNone_opt,P2_it1000_c1.41_mcAll_dNone_pure,P1_it1000_c1.41_mcAll_dNone_opt,P1_it1000_c1.41_mcAll_dNone_opt,7
P1_it1000_c1.41_mcAll_dNone_opt,P2_it1000_c1.41_mcAll_dNone_pure,P2_it1000_c1.41_mcAll_dNone_pure,P2_it1000_c1.41_mcAll_dNone_pure,17
P1_it1000_c1.41_mcAll_dNone_opt,P2_it1000_c1.41_mcAll_dNone_pure,P1_it1000_c1.41_mcAll_dNone_opt,P1_it1000_c1.41_mcAll_dNone_opt,19
P1_it1000_c1.41_mcAll_dNone_opt,P2_it1000_c1.41_mcAll_dNone_pure,P2_it1000_c1.41_mcAll_dNone_pure,P2_it1000_c1.41_mcAll_dNone_pure,23
P1_it1000_c1.41_mcAll_dNone_opt,P2_it1000_c1.41_mcAll_dNone_pure,P1_it1000_c1.41_mcAll_dNone_opt,P1_it1000_c1.41_mcAll_dNone_opt,15
P1_it1000_c1.41_mcAll_dNone_opt,P2_it1000_c1.41_mcAll_dNone_pure,P1_it1000_c1.41_mcAll_dNone_opt,P2_it1000_c1.41_mcAll_dNone_pure,8
P1_it1000_c1.41_mcAll_dNone_opt,P2_it1000_c1.41_mcAll_dNone_pure,P1_it1000_c1.41_mcAll_dNone_opt,P1_it1000_c1.41_mcAll_dNone_opt,17
P1_it1000_c1.41_mcAll_dNone_opt,P2_it1000_c1.41_mcAll_dNone_pure,P2_it1000_c1.41_mcAll_dNone_pure,P2_it1000_c1.41_mcAll_dNone_pure,23
P1_it1000_c1.41_mcAll_dNone_opt,P2_it1000_c1.41_mcAll_dNone_pure,P1_it1000_c1.41_mcAll_dNone_opt,P1_it1000_c1.41_mcAll_dNone_opt,21
