P1,P2,Vencedor,Quem_Comecou,Total_Jogadas
P1_it1000_c1.41_mc3_dNone,P2_it1000_c1.41_mcAll_dNone,P2_it1000_c1.41_mcAll_dNone,P2_it1000_c1.41_mcAll_dNone,7
P1_it1000_c1.41_mc3_dNone,P2_it1000_c1.41_mcAll_dNone,P2_it1000_c1.41_mcAll_dNone,P1_it1000_c1.41_mc3_dNone,18
P1_it1000_c1.41_mc3_dNone,P2_it1000_c1.41_mcAll_dNone,P2_it1000_c1.41_mcAll_dNone,P2_it1000_c1.41_mcAll_dNone,21
P1_it1000_c1.41_mc3_dNone,P2_it1000_c1.41_mcAll_dNone,P2_it1000_c1.41_mcAll_dNone,P1_it1000_c1.41_mc3_dNone,24
P1_it1000_c1.41_mc3_dNone,P2_it1000_c1.41_mcAll_dNone,P2_it1000_c1.41_mcAll_dNone,P2_it1000_c1.41_mcAll_dNone,21
P1_it1000_c1.41_mc3_dNone,P2_it1000_c1.41_mcAll_dNone,P2_it1000_c1.41_mcAll_dNone,P1_it1000_c1.41_mc3_dNone,12
P1_it1000_c1.41_mc3_dNone,P2_it1000_c1.41_mcAll_dNone,P2_it1000_c1.41_mcAll_dNone,P2_it1000_c1.41_mcAll_dNone,19
P1_it1000_c1.41_mc3_dNone,P2_it1000_c1.41_mcAll_dNone,P2_it1000_c1.41_mcAll_dNone,P1_it1000_c1.41_mc3_dNone,20
P1_it1000_c1.41_mc3_dNone,P2_it1000_c1.41_mcAll_dNone,P2_it1000_c1.41_mcAll_dNone,P2_it1000_c1.41_mcAll_dNone,23
P1_it1000_c1.41_mc3_dNone,P2_it1000_c1.41_mcAll_dNone,P2_it1000_c1.41_mcAll_dNone,P1_it1000_c1.41_mc3_dNone,14
P1_it1000_c1.41_mc3_dNone,P2_it1000_c1.41_mcAll_dNone,P2_it1000_c1.41_mcAll_dNone,P2_it1000_c1.41_mcAll_dNone,7
P1_it1000_c1.41_mc3_dNone,P2_it1000_c1.41_mcAll_dNone,P2_it1000_c1.41_mcAll_dNone,P1_it1000_c1.41_mc3_dNone,24
P1_it1000_c1.41_mc3_dNone,P2_it1000_c1.41_mcAll_dNone,P2_it1000_c1.41_mcAll_dNone,P2_it1000_c1.41_mcAll_dNone,17
